title,username,date,review_text
Meandering badly pace and mediocre movie,lukag99,2019-04-24,"The first 50 minutes set up the movie very well but the second act lacks urgency and focus. The movie comes to a halt and feels as if it's meandering between scenes, not knowing what to do and not being very entertaining. The movie is also highly predictable and somewhat ruins Thanos's character due to a strange character decision. Iron man is given a lot to work with, which is compelling, same with Hawkeye. The ending is somewhat satisfying but also cringe. Overall it is a fine movie, not offensively bad but certainly not as good as it's predecessor."
Perfect ending for an amazing series,angelmriam,2019-04-24,"This movie past over and beyond any expectation. Don't miss watching it..... will definitely watch it again and again. ""Endgame"" The name fits perfectly.
Total respect"
awe inspiring,P97,2019-05-02,"It's every marvel fans dream come to reality, people can nip pick the time travel but that's not really a flaw because they done it right by giving the fans what they want, the movie has lot of fan services but it never hurts the plot it actually helps it and it shows how much the russo brothers cared about this universe, by time the movie ends you feel like a life time has past, the end of an era."
Not as good as infinity war,locutus-08917,2019-04-26,This film was hyped so much i couldn't wait to watch it....the film is good but i didnt get the wow factor i had when i watched infinity war.....all the trailers and the online leaks wasted the ending for me....i still love marvel movies and will go see every one that comes out but for me this was good but not as good as I/W
Everyone just calm down...,stefanvass,2019-04-26,"...and pull the hype train over.
Amazing fun, stunning spectacle great performances especially RDJ.
It's just not the whole sum of its parts.
Lots of great parts but not cohesively held.
Too much Comedy with one character essentially now just full comedy relief.
The most ridiculous coincidences and a couple of plot holes.
You will laugh, you will get gut punched and for some you will cry, but then you will wonder what really happened in that 3 hours.
Did it need 3 hours? No.
Is it better than infinity war? No.
Will you enjoy it? Definitely."
Perfection,ni-cole-andrews,2019-04-24,This movie has the absolute perfect balance of fan service and harsh moments. Lean into the tears and suspend a little disbelief. This movie is everything we needed and more than we deserved.
"Great ""ending"" to a saga",vandykeu,2019-08-17,"Endgame is a great popcorn action movie to ""finish"" a saga of popcorn action movies. This isn't serious entertainment and shouldn't be considered as such, and it reminds me of how George Lucas made Star Wars as an homage to the cheap serials like Flash Gordon. Especially as comic-sourced material, this is what the MCU is. Some part of me is actually a bit pained to like it as much as I do, given that it is just playing on base emotions to make money for a massive conglomerate like Disney.

BUT... what a great way to end several major storylines that they invested in over the past 11 years. For people who have watched the saga, I feel like this is just the cherry on the top. My only complaint is something that you can't really get away from in superhero stories: the character ""powers"" are totally inconsistent from scene to scene, and movie to movie. This is a trope that there's no getting away from, because if characters like Captain Marvel, Thor, Scarlet Witch, and Hulk were always as powerful as they show flashes of, then the story wouldn't even be a thing. Any one of them could destroy Thanos in the blink of an eye, and have done similar feats in other stories (and even in other scenes within a given story). That they sometimes ""reduce"" their power to a lower level, without an explained mechanism, is pretty laughable, and makes some parts of the story a bit nonsensical. Yes, this constant Ex Machina is needed to maintain the drama and keep the plot going, but it's still something that takes me out of the story.

What I really love about this movie, and the saga as a whole, is how good it is at developing the actual characters and their relationships. There are some similarities, but nobody is the same, and most of the arcs are believable. Thor's story, and apparent PTSD, is to me the best-done, but all of the majors (and some of the minors) are almost as good. I believed them. And for a popcorn action movie saga based on a comic series, I think that's a pretty high compliment."
Infinity War is way better!!,sergiofabian_20,2019-05-04,I didn't like the acting. Thanos doesn't seem like the badass of the first movie
A Masterpiece,michaeltong-29180,2019-08-08,"Wow there are so many troll reviews by inarticulate rubes who can't even explain their opinions.

People are entitled to their own tastes, and the super hero genre of the Marvel variety that is a pastiche of action/adventure, sci-fi, and fantasy doesn't appeal to everyone, but for what it is, for what it succeeds at being for its target audience, Avengers: Endgame is currently the benchmark as a satisfying grand finale in a cinematic universe.

There can be no doubt that Infinity War and Endgame are masterpieces. That doesn't mean they're the best movies ever made, or that they're better than other masterpieces of different genres, it just means that it succeeds in every element required of it.

The barrier of entry to The Avengers, especially the last two films, is quite high and requires someone to watch a lot of movies, and without an investment in those characters in the Marvel film that lead up to Infinity War and Endgame, a casual viewer will not care the same way a fan will. Yet that shouldn't detract from how skillfully the writers and directors manage to balance so many elements and fuse so many genres to deliver a unique piece of pop-entertainment that is full of humor, spectacle, and drama.

The Avengers is not a particularly profound franchise. It doesn't attempt to be allegorical like The Lord of The Rings, it isn't as mind-expanding as The Matrix, it isn't as mystical as the original Star Wars, nor does it make any social commentary like The Dark Knight, but it has plenty of great archetypal characters who embody different aspects and struggles with heroism. Each character plays so well off the other and the cast has so much chemistry.

No other franchise understands its characters better than Marvel, and no writers have a better grasp of heroic conflict and camaraderie than Christopher Markus and Stephen McFeely. Comparing their work in Endgame to other franchises like the DCU's Justice League or the current Star Wars is night and day.

That isn't to say Endgame is perfect. A Masterpiece doesn't have to be perfect, and most aren't. Certain elements of the plot feel rushed and loopholes are glossed over. Not all the jokes land, but most are pretty funny. Captain Marvel is way too powerful which constantly makes her a Deus Ex Machina. There are any combination of nitpicky observations I could make about parts that don't exactly make sense, but those are minor.

Admittedly, I do have a bit of Marvel fatigue after this. It almost feels like Endgame was so epic that I don't ever need to see another super hero movie again. Sure, I'll probably see the new Spider-Man, and even though I really like the films and the character, it's reaching a point of over-saturation."
Everybody's here,ansirahka,2019-11-03,"A nice conclusion to the saga, it'll give you nerd chills"
Amazing finale,ivanmessimilos,2021-11-14,"It's definitely not as strong an impression as it was on first viewing, which makes perfect sense, but I still think the film was extremely successful on multiple levels. One of the better things is that the three-hour film is not boring at any point, it seemed to me to last ""only"" two hours, which is not easy to achieve. I also look at this film as the finale or the last episode of a series you've been watching for years, which on the one hand is actually true. So much has happened before this film, so many characters and events. This film is just the crown of it all, one big rounded whole. It is obvious that the Russo brothers had a plan because it is obvious that they paid attention to details and some smaller moments that real fans will easily recognize. Of course I have some objections that are related to certain characters and some scenes, but given the type of film and how much the film offers, I can just get over it and forget about it. I think this Marvel project is unrepeatable and it's something we should appreciate no matter what you think of movies like this."
The more I think about it,thevances,2019-05-06,"Enjoyable movie that takes to long to get into the action and doesn't make any sense once you step back and think about what they've done. Even their explanations on what they were going to do, what they did do, and the final outcomes make no sense. I believe the world would be an even bigger mess when they were done, and Steve broke all the rules!"
movie,gabbymelissa,2019-11-03,Great movie i almost cried and great ending to the series of movies
"Good at times, but got boring.",ClearAllSpam,2019-04-28,"Honestly: at the 2 hour mark i was checking my watch to try and figure out how much more I had to put up with before it made sense.
The storyline was sporadic, and bounced around so much that it just got confusing and boring.
I have no intent, nor interest, to watch it again"
Made for the Fans,pmitchelluk,2019-05-05,"Nothing really happening ....Captain Marvel is in it for a bit...Black Panther was in it too, not sure why

Dramatic scenes purely over the top....just seems like they tried to fit all 5000 Avengers into this film and actually forgot about the film

3 hours, I'll never get back .......one good battle scene tho"
A good movie but not the best one,awesomeguy_92,2019-04-29,"I don't know why people are calling it the best Marvel movie till date. Come on guys did you not watched infinity war. To be honest, that was the greatest movie and this was no way near that. It has so many loopholes and extra scenes, I don't know what Russo brothers were thinking. It got lucky just because of all the buildup that the previous movies made, otherwise it would have end up just like justice league."
One of A kind,kwesipaa-80807,2019-11-05,Avengers endgame is one of a kind well done Marvel studios
3 hours just flew by,smith-c57,2019-04-25,"Absolutely loved it, every character gets a good chunk of screen time and they all use it to full effect, its laugh out loud funny at times, really touching at times."
EXCELSIOR,govindcrz,2019-04-26,"The culmination of the infinity saga,this movie is going down in history as one of its kind. MIND-BLOWING MASTERPIECE.Words can't describe the grandiosity of this film. Worth watching more than once."
Avengers: Endgame (2019),rockman182,2019-04-26,"The Marvel Cinematic Universe comes to a point where a film feels like an actual event. We have been waiting in anticipation for a year to see the final showdown that started in Infinity War. Actually, scratch that. The entire Infinity Saga started way back with Iron Man. 22 films, countless number of heroes coming together in the culminating battle against Thanos. So much anticipation, ticketing app crashes, and going through so much to try to see this on opening night. Now here we are. Does Avengers: Endgame live up to its high expectations? Absolutely. I felt like it was unique and carries the most emotional weight off anything in this universe but it absolutely serves its fans who have been loyal for years and years.

The film takes place three weeks after the end of Infinity War. Half of the worlds population have been wiped out by Thanos and now the remaining Avengers (who just so happen to consist summarily of the original Avengers) must find a way to not only defeat Thanos, but also avenge the fallen and find a way to counteract the actions that occurred at the end of Infinity War. As expected the film stars a gigantic cast of Hollywood's best and watch out for the cameos from heroes who have appeared previously in the Marvel Cinematic Universe.

I really would like to talk about this film in a spoiler review but as with every review on my site, there will be no spoilers. I will say that this film has a unique take almost immediately. The humor and banter is still there as it always is and the character arcs are as fantastic as ever at its near completion. The film carries the most emotional weight as anything this universe has seen. The film has so much fan service. I think if you go early on and with a packed crowd of fans you will see just how much this means to the audience who have stayed loyal to this saga.

There were laughs, there were cheers, there were gasps, and yes there were tears. The film feels like it should be the very last that the MCU has to offer but of course we know there are Spider-Man and Black Panther sequels coming. The final battle brings just about everything you could hope for. If you're a fan of the series I think you will enjoy this film as it makes a case of being the best Avengers film. It goes hand in hand with Infinity War, of course both films were shot together.

Members of the original Avengers put on performances that do their characters the utmost justice after being on this journey for a decade. The film builds up quite slowly but once the plot takes form and the battle lines are drawn it delivers in the way the Russo brothers know how to. Th action is there, and all of what makes the Marvel Universe such a sweeping phenomenon is always there. Some characters could get more screen time, sure. You have to remember that there are so many characters that the film has to juggle and it does that admirably as it is.

The film will be a box office hit for sure and will be well reviewed in regards to the Universe as I can already see. I will be seeing this again tomorrow morning and have the same excitement going into a second viewing as I did my first. I found this to be a very special entry and feel like it ties up so much in such a perfect fashion. If you are a fan of superhero fans you need to see this as soon as possible and should do..

Whatever it takes.

9/10"
Every single moment is unexpected,The-Becoming,2019-04-24,"Everyone shines in this movie. Directed to the fans of these 10 last years of Marvel movies. A thank you, beautiful, tragic, fun. The emotion stills my words just after seeing the movie. Have to see it twice again to do it justice."
Cannot see what the fuss is about,charlotteherbert-54734,2019-05-07,"It's long winded...easily could be half the 3 hours.... Superhero movies are about battles and heroes...not crying and moaning. Watching iron Man wimper off was such a let down. After watching every avenger movie, I am so disappointed. Only 1 good battle, and it's over too quickly. So so so disappointed...I'd take any other avenger movie over this one."
An end to rule all ends.,marta-20240,2019-04-24,"Definitely not as good as its predecessor but one to be conjured with nevertheless.
The movie starts a bit slower than all MCU movies before it and it takes its precious time to get the action going, but once it does, its all forgiven and forgotten.
Although predictable, because let's face it, where could they go after Infinity Wars? It delivers on all fronts!
There were tears and laughter throughout the 3 hr long feature. The tears yanked out of you by Ant Man, Stark, Cap and Hawkeye and the laughter mainly by Thor who surprised everybody with his transformation, but also by Hulk/Banner who found a peaceful way to co-exist.
There were cameos sprinkled throughout the whole length of the movie, some very emotional, like Agent Carter, who actually didn't have to say a single word to get the tears flowing.
They tied up all the loose ends, revisited some great scenes from past beloved movies and, thankfully, did not give all the glory to insipid Captain Marvel, who despite being the most powerful of all the Avengers, delivers quite a forgettable performance.
There are some key characters who will definitely not be coming back, but there is still plenty left for future plots. Although it will feel a lot less exciting with some of the most beloved characters absent from now on.

All considered, a very good movie to end it all, one that you may want to watch it again to take it all in as I will be doing. Well done to all involved and a great big thank you for such a ride that spanned for over 10 years."
Most Beautiful Marvel Movie.,mahardikaitokid,2019-04-24,"Just watch it by yourself. This movie has more deep story, and will mix all your feelings as well. Thanks god nowadays kid has a great role model for them and thanks god that i was born into this era when this Comic Book Movie exist."
Epic.. yes! Phenomenal.. Yes! Amazing.. yes! But better from infinity war? Don't think so!,antonygogo,2020-01-12,This movie was really good. I remember my self screaming at the movies sooooo bad along with every other fan! I watched this movie 2 times at the cinema! It was something else! But still something was missing! I don't know what but I gotta say that infinity war was superior! At least for me!
Ignore the negative reviews,aka-12377,2019-12-02,They are unhappy. Instead of movies bringing joy in their lives they just want their life problems spill over to others. Don't fall for it. This is a good movie.
BETTER THAN EVERY SEQUEL,atikainu,2024-08-30,"The sheer scale of Endgame is both its greatest strength and its most significant weakness. On one hand, the film is an epic, three-hour-long spectacle that offers a rollercoaster of emotions-grief, hope, nostalgia, and triumph. The final battle scene, where all the heroes unite against Thanos, is a jaw-dropping, cheer-inducing moment that's destined to be iconic. The visual effects are top-notch, and the action sequences are choreographed with meticulous precision.

On the other hand, the movie's scale can make it feel bloated and unwieldy. With so many characters and storylines to juggle, not all of them get the attention they deserve. Some heroes, like Captain Marvel, are underutilized, while others, like Thor, receive arcs that are divisive among fans. Thor's transformation into a depressed, beer-guzzling shadow of his former self is played for laughs but also feels like a disservice to his character development in previous films.

The time-travel plot is another area where Endgame falters. While it allows for some fantastic callbacks to earlier films and provides a clever way to undo the events of Infinity War, it also introduces a host of logical inconsistencies. The film's explanation of time travel is murky at best, and the rules seem to change whenever it's convenient for the plot. This lack of clarity can be frustrating, especially for viewers who prefer a more coherent narrative structure."
